Quantify Compound Summary Report 

Printed Thu Feb 04 10:38:59 2021

Compound 1:  13C-caffeine

	#	Name	Sample Text	RT	Area	1Area
44	44	TQS3_210122_044	Blank	3.32	81	
45	45	TQS3_210122_045	20190528_C_E-LC	3.32	683279	
46	46	TQS3_210122_046	20190528_C_F-LC	3.32	798593	
47	47	TQS3_210122_047	20190528_C_G-LC	3.32	572185	
48	48	TQS3_210122_048	20190528_C_H-LC	3.32	735865	
49	49	TQS3_210122_049	20190615_S_1_9-LC	3.32	690254	
50	50	TQS3_210122_050	20190819_C_I-LC	3.32	834045	
51	51	TQS3_210122_051	20190819_C_J-LC	3.32	784082	
52	52	TQS3_210122_052	20190819_C_K-LC	3.32	806543	
53	53	TQS3_210122_053	20190819_C_L-LC	3.32	589076	
54	54	TQS3_210122_054	20190819_C_M-LC	3.32	738569	
55	55	TQS3_210122_055	Blank	3.33	121	
56	56	TQS3_210122_056	Std 3.125 ng/ml matrix	3.32	280540	
57	57	TQS3_210122_057	Blank	3.32	197	
58	58	TQS3_210122_058	20190819_C_N-LC	3.32	837186	
59	59	TQS3_210122_059	20190819_C_O-LC	3.32	742948	
60	60	TQS3_210122_060	20190819_C_P-LC	3.31	671393	
61	61	TQS3_210122_061	20190819_C_Q-LC	3.31	642729	
62	62	TQS3_210122_062	20200304_C_A-LC	3.32	703297	
63	63	TQS3_210122_063	20200304_C_B-LC	3.31	736939	
64	64	TQS3_210122_064	20200304_C_C-LC	3.31	752936	
65	65	TQS3_210122_065	20200304_C_D-LC	3.31	755805	
66	66	TQS3_210122_066	20200304_C_Eg-LC	3.31	668033	
67	67	TQS3_210122_067	20200304_C_Et-LC	3.31	656006	
68	68	TQS3_210122_068	Blank	3.32	312	
69	69	TQS3_210122_069	Std 3.125 ng/ml matrix	3.32	274553	
70	70	TQS3_210122_070	Blank	3.33	317	
71	71	TQS3_210122_071	Std 0 ng/mL	3.31	1048236	
72	72	TQS3_210122_072	Std 1.25 ng/mL	3.31	1071242	
73	73	TQS3_210122_073	Std 3.125 ng/mL	3.31	1127179	
74	74	TQS3_210122_074	Std 6.25 ng/mL	3.31	1082263	
75	75	TQS3_210122_075	Std 12.5 ng/mL	3.31	1103848	
76	76	TQS3_210122_076	Std 50 ng/mL	3.31	1295177	
77	77	TQS3_210122_077	Blank	3.32	207	
78	78	TQS3_210122_078	Std 3.125 ng/ml matrix	3.31	270229	
79	79	TQS3_210122_079	Blank	3.33	233	
80	80	TQS3_210122_080	20200304_C_Fg-LC	3.31	769673	
81	81	TQS3_210122_081	20200304_C_Ft-LC	3.31	695142	
82	82	TQS3_210122_082	20200304_C_G-LC	3.31	775818	
83	83	TQS3_210122_083	20200304_C_Hg-LC	3.31	764251	
84	84	TQS3_210122_084	20200304_C_Ht-LC	3.31	715607	
85	85	TQS3_210122_085	20200304_C_Ig-LC	3.31	800516	
86	86	TQS3_210122_086	20200304_C_It-LC	3.32	579230	
87	87	TQS3_210122_087	20200304_C_Jg-LC	3.32	640455	
88	88	TQS3_210122_088	20200304_C_Jt-LC	3.32	697361	
89	89	TQS3_210122_089	20200304_C_Kg-LC	3.32	674723	
90	90	TQS3_210122_090	Blank	3.33	131	
91	91	TQS3_210122_091	Std 3.125 ng/ml matrix	3.32	263450	
92	92	TQS3_210122_092	Blank	3.34	264	
93	93	TQS3_210122_093	20200304_C_Kt-LC	3.32	690224	
94	94	TQS3_210122_094	20200304_C_L-LC	3.32	620680	
95	95	TQS3_210122_095	20200304_C_M-LC	3.32	714714	
96	96	TQS3_210122_096	20200304_C_N-LC	3.32	756507	
97	97	TQS3_210122_097	20200304_C_O-LC	3.31	806078	
98	98	TQS3_210122_098	20200304_C_P-LC	3.31	715277	
99	99	TQS3_210122_099	20200304_C_Q-LC	3.31	823648	
100	100	TQS3_210122_100	20200304_C_R-LC	3.32	691816	
101	101	TQS3_210122_101	20200304_C_S-LC	3.32	824794	
102	102	TQS3_210122_102	20200304_C_T-LC	3.32	744205	
103	103	TQS3_210122_103	Blank	3.32	175	
104	104	TQS3_210122_104	Std 3.125 ng/ml matrix	3.32	274668	
105	105	TQS3_210122_105	Blank	3.33	218	
106	106	TQS3_210122_106	20200304_C_U-LC	3.32	806509	
107	107	TQS3_210122_107	20200304_C_V-LC	3.32	657915	
108	108	TQS3_210122_108	20200304_C_W-LC	3.32	630065	
109	109	TQS3_210122_109	20200304_C_X-LC	3.32	814786	
110	110	TQS3_210122_110	20200627_S_1_5-LC	3.32	1399868	
111	111	TQS3_210122_111	20200701_S_1_12-LC	3.32	575872	
112	112	TQS3_210122_112	20200812_S_1_12-LC	3.32	595299	
113	113	TQS3_210122_113	20200820_C_A-LC	3.32	756001	
114	114	TQS3_210122_114	20200820_C_B-LC	3.32	605768	
115	115	TQS3_210122_115	20200820_C_C-LC	3.31	732229	
116	116	TQS3_210122_116	Blank	3.31	247	
117	117	TQS3_210122_117	Std 3.125 ng/ml matrix	3.32	263833	
118	118	TQS3_210122_118	Blank	3.32	253	
119	119	TQS3_210122_119	20200820_C_D-LC	3.31	776134	
120	120	TQS3_210122_120	20200820_C_E-LC	3.31	829632	
121	121	TQS3_210122_121	20200820_C_Ft-LC	3.31	593517	
122	122	TQS3_210122_122	20200831_S_1_12-LC	3.31	707462	
123	123	TQS3_210122_123	20200928_S_1_12-LC	3.31	1491081	
124	124	TQS3_210122_124	Blank	3.32	136	
125	125	TQS3_210122_125	Std 3.125 ng/ml matrix	3.31	269097	
126	126	TQS3_210122_126	Std 3.125 ng/ml Solvent	3.31	1119597	
127	127	TQS3_210122_127	Blank	3.33	268	
128	128	TQS3_210122_128	20190315_W_1-LC	3.31	1162535	
129	129	TQS3_210122_129	20190510_W_1_9-LC	3.31	1041182	
130	130	TQS3_210122_130	20190606_W_1_2-LC	3.31	1144270	
131	131	TQS3_210122_131	20190615_W_1_9-LC	3.31	1032337	
132	132	TQS3_210122_132	20200627_W_1_5-LC	3.31	987216	
133	133	TQS3_210122_133	Blank	3.31	201	
134	134	TQS3_210122_134	Std 3.125 ng/ml matrix	3.31	262818	
135	135	TQS3_210122_135	Std 3.125 ng/ml Solvent	3.31	1123170	
136	136	TQS3_210122_136	Blank	3.32	285	
137	137	TQS3_210122_137	BLANK - IS	3.31	436	
138	138	TQS3_210122_138	BLANK + IS + std MIX	3.31	779731	
139	139	TQS3_210122_139	QC-1-standard	3.31	709186	
140	140	TQS3_210122_140	QC-2	3.31	834472	
141	141	TQS3_210122_141	QC-3	3.31	724340	
142	142	TQS3_210122_142	Blank	3.32	318	
143	143	TQS3_210122_143	Std 3.125 ng/ml matrix	3.31	272442	
144	144	TQS3_210122_144	Blank	3.31	87	
145	145	TQS3_210122_145	Std 0 ng/mL	3.31	1111732	
146	146	TQS3_210122_146	Std 1.25 ng/mL	3.31	1055389	
147	147	TQS3_210122_147	Std 3.125 ng/mL	3.31	1259891	
148	148	TQS3_210122_148	Std 6.25 ng/mL	3.31	1188075	
149	149	TQS3_210122_149	Std 12.5 ng/mL	3.31	1122077	
150	150	TQS3_210122_150	Std 50 ng/mL	3.31	1427661	
151	151	TQS3_210122_151	Blank	3.32	220	
152	152	TQS3_210122_152	Std 3.125 ng/ml matrix	3.32	290931	
153	153	TQS3_210122_153	Blank	3.31	181	
154	154	TQS3_210122_154	Blank	3.32	300	

Compound 2:  Thiacloprid

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_001	Blank	4.00	3481	189
2	2	TQS3_210122_002	Std 0 ng/mL	4.02	2355	113
3	3	TQS3_210122_003	Std 1.25 ng/mL	4.02	800792	247256
4	4	TQS3_210122_004	Std 3.125 ng/mL	4.02	2196196	684843
5	5	TQS3_210122_005	Std 6.25 ng/mL	4.02	4091987	1264573
6	6	TQS3_210122_006	Std 12.5 ng/mL	4.02	6421176	2169991
7	7	TQS3_210122_007	Std 50 ng/mL	4.00	10526450	7542952
8	8	TQS3_210122_008	Blank	4.01	6009	1380
9	9	TQS3_210122_009	Std 3.125 ng/ml matrix	4.01	1885739	584028
10	10	TQS3_210122_010	Blank	4.01	7255	715
11	11	TQS3_210122_011	BLANK - IS	3.99	3753	504
12	12	TQS3_210122_012	BLANK + IS + std MIX	4.01	6167857	2020074
13	13	TQS3_210122_013	QC-1-standard	4.01	6437069	2167245
14	14	TQS3_210122_014	QC-2	4.01	6332015	2090245
15	15	TQS3_210122_015	QC-3	4.02	6103475	1986818
16	16	TQS3_210122_016	Blank	4.01	7466	1726
17	17	TQS3_210122_017	Std 3.125 ng/ml matrix	4.01	1906208	590482
18	18	TQS3_210122_018	Blank	4.01	6215	1066
19	19	TQS3_210122_019	20190415_C_A-LC	4.01	9509	2325
20	20	TQS3_210122_020	20190415_C_B-LC	4.01	7965	1714
21	21	TQS3_210122_021	20190415_C_C-LC	4.01	41714	12493
22	22	TQS3_210122_022	20190415_C_D-LC	4.00	3783	622
23	23	TQS3_210122_023	20190415_C_E-LC	4.00	187094	57150
24	24	TQS3_210122_024	20190415_C_F-LC	4.00	248370	76327
25	25	TQS3_210122_025	20190510_S_1_9-LC	4.00	100512	30094
26	26	TQS3_210122_026	20190511_C_G-LC	4.00	116291	34657
27	27	TQS3_210122_027	20190511_C_H-LC	4.00	393182	117976
28	28	TQS3_210122_028	20190511_C_I-LC	4.00	3687379	1148157
29	29	TQS3_210122_029	Blank	4.03	263	174
30	30	TQS3_210122_030	Std 3.125 ng/ml matrix	4.00	1808909	567102
31	31	TQS3_210122_031	Blank	4.00	5081	285
32	32	TQS3_210122_032	20190511_C_J-LC	4.00	269372	81306
33	33	TQS3_210122_033	20190511_C_K-LC	4.00	10058428	7373454
34	34	TQS3_210122_034	20190511_C_L-LC	3.98	12910447	10705034
35	35	TQS3_210122_035	20190511_C_M-LC	4.01	98884	29675
36	36	TQS3_210122_036	20190511_C_N-LC	4.01	91319	27028
37	37	TQS3_210122_037	20190511_C_O-LC	4.00	14089	3981
38	38	TQS3_210122_038	20190528_C_A-LC	4.01	12876	3297
39	39	TQS3_210122_039	20190528_C_B-LC	4.01	83405	24387
40	40	TQS3_210122_040	20190528_C_C-LC	4.02	112748	34278
41	41	TQS3_210122_041	20190528_C_D-LC	4.02	204222	63722
42	42	TQS3_210122_042	Blank	4.01	1934	900
43	43	TQS3_210122_043	Std 3.125 ng/ml matrix	4.02	1668429	517140
44	44	TQS3_210122_044	Blank	4.01	3663	673
45	45	TQS3_210122_045	20190528_C_E-LC	4.01	7918980	3309035
46	46	TQS3_210122_046	20190528_C_F-LC	4.01	9268	2463
47	47	TQS3_210122_047	20190528_C_G-LC	4.01	31232	9695
48	48	TQS3_210122_048	20190528_C_H-LC	4.01	19708	5158
49	49	TQS3_210122_049	20190615_S_1_9-LC	4.01	3077639	942933
50	50	TQS3_210122_050	20190819_C_I-LC	4.01	23268	6488
51	51	TQS3_210122_051	20190819_C_J-LC	4.01	2552664	793642
52	52	TQS3_210122_052	20190819_C_K-LC	4.01	566123	173082
53	53	TQS3_210122_053	20190819_C_L-LC	3.99	10653166	7940915
54	54	TQS3_210122_054	20190819_C_M-LC	4.02	4020191	1233141
55	55	TQS3_210122_055	Blank	4.00	6207	1124
56	56	TQS3_210122_056	Std 3.125 ng/ml matrix	4.02	1853534	568050
57	57	TQS3_210122_057	Blank	4.00	4733	536
58	58	TQS3_210122_058	20190819_C_N-LC	4.01	1799601	546016
59	59	TQS3_210122_059	20190819_C_O-LC	4.01	28778	7614
60	60	TQS3_210122_060	20190819_C_P-LC	4.00	831384	250813
61	61	TQS3_210122_061	20190819_C_Q-LC	4.00	1470578	449075
62	62	TQS3_210122_062	20200304_C_A-LC	4.00	2690	500
63	63	TQS3_210122_063	20200304_C_B-LC	3.99	2712	506
64	64	TQS3_210122_064	20200304_C_C-LC	4.00	4911	904
65	65	TQS3_210122_065	20200304_C_D-LC	4.00	11795	2824
66	66	TQS3_210122_066	20200304_C_Eg-LC	4.00	50760	14957
67	67	TQS3_210122_067	20200304_C_Et-LC	4.00	463945	143372
68	68	TQS3_210122_068	Blank	4.01	1873	305
69	69	TQS3_210122_069	Std 3.125 ng/ml matrix	4.00	1751888	533851
70	70	TQS3_210122_070	Blank	4.01	1725	428
71	71	TQS3_210122_071	Std 0 ng/mL	3.99	2150	112
72	72	TQS3_210122_072	Std 1.25 ng/mL	4.00	757897	231269
73	73	TQS3_210122_073	Std 3.125 ng/mL	4.00	1973882	606703
74	74	TQS3_210122_074	Std 6.25 ng/mL	4.00	3923312	1200280
75	75	TQS3_210122_075	Std 12.5 ng/mL	4.00	6306886	2069548
76	76	TQS3_210122_076	Std 50 ng/mL	3.98	10287579	7514401
77	77	TQS3_210122_077	Blank	3.98	7192	758
78	78	TQS3_210122_078	Std 3.125 ng/ml matrix	4.00	1836965	561143
79	79	TQS3_210122_079	Blank	3.99	4599	1044
80	80	TQS3_210122_080	20200304_C_Fg-LC	4.00	55045	15993
81	81	TQS3_210122_081	20200304_C_Ft-LC	4.00	2513807	776860
82	82	TQS3_210122_082	20200304_C_G-LC	4.00	15330	3880
83	83	TQS3_210122_083	20200304_C_Hg-LC	4.00	71745	21291
84	84	TQS3_210122_084	20200304_C_Ht-LC	4.00	1210476	374804
85	85	TQS3_210122_085	20200304_C_Ig-LC	4.00	69390	20908
86	86	TQS3_210122_086	20200304_C_It-LC	4.01	2951530	908399
87	87	TQS3_210122_087	20200304_C_Jg-LC	4.01	80671	23744
88	88	TQS3_210122_088	20200304_C_Jt-LC	4.01	264711	80296
89	89	TQS3_210122_089	20200304_C_Kg-LC	4.01	97276	29513
90	90	TQS3_210122_090	Blank	4.00	3703	389
91	91	TQS3_210122_091	Std 3.125 ng/ml matrix	4.01	1716129	524267
92	92	TQS3_210122_092	Blank	4.00	4425	710
93	93	TQS3_210122_093	20200304_C_Kt-LC	4.01	4327293	1332565
94	94	TQS3_210122_094	20200304_C_L-LC	4.01	40389	11815
95	95	TQS3_210122_095	20200304_C_M-LC	4.00	17000	4771
96	96	TQS3_210122_096	20200304_C_N-LC	4.00	44274	12686
97	97	TQS3_210122_097	20200304_C_O-LC	4.00	26729	7702
98	98	TQS3_210122_098	20200304_C_P-LC	4.00	82136	24875
99	99	TQS3_210122_099	20200304_C_Q-LC	4.01	39615	11768
100	100	TQS3_210122_100	20200304_C_R-LC	4.01	25011	6902
101	101	TQS3_210122_101	20200304_C_S-LC	4.01	234521	71130
102	102	TQS3_210122_102	20200304_C_T-LC	4.01	58652	17166
103	103	TQS3_210122_103	Blank	4.01	4412	360
104	104	TQS3_210122_104	Std 3.125 ng/ml matrix	4.01	1714067	517298
105	105	TQS3_210122_105	Blank	4.01	4648	1037
106	106	TQS3_210122_106	20200304_C_U-LC	4.01	18627	4923
107	107	TQS3_210122_107	20200304_C_V-LC	4.01	13396	3574
108	108	TQS3_210122_108	20200304_C_W-LC	4.01	9478	2486
109	109	TQS3_210122_109	20200304_C_X-LC	4.01	10179	2595
110	110	TQS3_210122_110	20200627_S_1_5-LC	4.01	6396626	2115775
111	111	TQS3_210122_111	20200701_S_1_12-LC	4.01	7264973	2626272
112	112	TQS3_210122_112	20200812_S_1_12-LC	4.01	7777842	3127699
113	113	TQS3_210122_113	20200820_C_A-LC	4.01	46579	13878
114	114	TQS3_210122_114	20200820_C_B-LC	4.01	2655417	809101
115	115	TQS3_210122_115	20200820_C_C-LC	4.00	412082	125505
116	116	TQS3_210122_116	Blank	3.99	4653	877
117	117	TQS3_210122_117	Std 3.125 ng/ml matrix	4.00	1717246	525990
118	118	TQS3_210122_118	Blank	3.99	3956	106
119	119	TQS3_210122_119	20200820_C_D-LC	4.00	3861212	1180885
120	120	TQS3_210122_120	20200820_C_E-LC	4.00	28222	8175
121	121	TQS3_210122_121	20200820_C_Ft-LC	4.00	6660550	2252415
122	122	TQS3_210122_122	20200831_S_1_12-LC	4.00	5019717	1545623
123	123	TQS3_210122_123	20200928_S_1_12-LC	4.00	417762	126624
124	124	TQS3_210122_124	Blank	3.99	5019	616
125	125	TQS3_210122_125	Std 3.125 ng/ml matrix	4.00	1726438	527221
126	126	TQS3_210122_126	Std 3.125 ng/ml Solvent	4.00	1958981	596053
127	127	TQS3_210122_127	Blank	3.99	3930	557
128	128	TQS3_210122_128	20190315_W_1-LC	4.03	294	268
129	129	TQS3_210122_129	20190510_W_1_9-LC	4.00	12165	2857
130	130	TQS3_210122_130	20190606_W_1_2-LC	3.99	5544	1260
131	131	TQS3_210122_131	20190615_W_1_9-LC	3.99	4305845	1325418
132	132	TQS3_210122_132	20200627_W_1_5-LC	4.00	240847	73560
133	133	TQS3_210122_133	Blank	4.00	2659	790
134	134	TQS3_210122_134	Std 3.125 ng/ml matrix	4.00	1746546	528002
135	135	TQS3_210122_135	Std 3.125 ng/ml Solvent	4.00	2041022	622112
136	136	TQS3_210122_136	Blank	4.00	4964	538
137	137	TQS3_210122_137	BLANK - IS	4.00	2941	463
138	138	TQS3_210122_138	BLANK + IS + std MIX	4.00	6033778	1940133
139	139	TQS3_210122_139	QC-1-standard	4.00	6369316	2101921
140	140	TQS3_210122_140	QC-2	4.00	6436891	2117666
141	141	TQS3_210122_141	QC-3	4.00	5878492	1876269
142	142	TQS3_210122_142	Blank	4.04	226	344
143	143	TQS3_210122_143	Std 3.125 ng/ml matrix	4.00	1897757	585591
144	144	TQS3_210122_144	Blank	4.00	2846	601
145	145	TQS3_210122_145	Std 0 ng/mL	4.00	1176	96
146	146	TQS3_210122_146	Std 1.25 ng/mL	4.00	756714	231716
147	147	TQS3_210122_147	Std 3.125 ng/mL	4.00	2055193	631718
148	148	TQS3_210122_148	Std 6.25 ng/mL	4.00	4382322	1332359
149	149	TQS3_210122_149	Std 12.5 ng/mL	4.00	6566514	2218854
150	150	TQS3_210122_150	Std 50 ng/mL	3.98	9970672	7593354
151	151	TQS3_210122_151	Blank	4.00	9420	2243
152	152	TQS3_210122_152	Std 3.125 ng/ml matrix	4.00	1746162	530386
153	153	TQS3_210122_153	Blank	4.00	5363	811
154	154	TQS3_210122_154	Blank	4.00	4879	786

Compound 3:  Flonicamid

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_001	Blank	3.23	14	123
2	2	TQS3_210122_002	Std 0 ng/mL			
3	3	TQS3_210122_003	Std 1.25 ng/mL	3.23	61870	38485
4	4	TQS3_210122_004	Std 3.125 ng/mL	3.24	175514	106979
5	5	TQS3_210122_005	Std 6.25 ng/mL	3.23	335682	206870
6	6	TQS3_210122_006	Std 12.5 ng/mL	3.24	563987	345255
7	7	TQS3_210122_007	Std 50 ng/mL	3.23	2203542	1352714
8	8	TQS3_210122_008	Blank	3.23	141	217
9	9	TQS3_210122_009	Std 3.125 ng/ml matrix	3.23	127980	81410
10	10	TQS3_210122_010	Blank	3.22	116	47
11	11	TQS3_210122_011	BLANK - IS	3.24	53	37
12	12	TQS3_210122_012	BLANK + IS + std MIX	3.24	468670	290150
13	13	TQS3_210122_013	QC-1-standard	3.24	475000	296760
14	14	TQS3_210122_014	QC-2	3.24	480799	294274
15	15	TQS3_210122_015	QC-3	3.24	443552	276291
16	16	TQS3_210122_016	Blank	3.23	118	109
17	17	TQS3_210122_017	Std 3.125 ng/ml matrix	3.24	136134	83665
18	18	TQS3_210122_018	Blank	3.24	160	117
19	19	TQS3_210122_019	20190415_C_A-LC	3.23	78	74
20	20	TQS3_210122_020	20190415_C_B-LC	3.23	367	239
21	21	TQS3_210122_021	20190415_C_C-LC			
22	22	TQS3_210122_022	20190415_C_D-LC	3.23	87	56
23	23	TQS3_210122_023	20190415_C_E-LC	3.23	140909	86482
24	24	TQS3_210122_024	20190415_C_F-LC	3.23	181437	111713
25	25	TQS3_210122_025	20190510_S_1_9-LC	3.23	1535	979
26	26	TQS3_210122_026	20190511_C_G-LC			
27	27	TQS3_210122_027	20190511_C_H-LC	3.34	10	140
28	28	TQS3_210122_028	20190511_C_I-LC	3.23	4651	2870
29	29	TQS3_210122_029	Blank	3.22	94	86
30	30	TQS3_210122_030	Std 3.125 ng/ml matrix	3.23	134157	81824
31	31	TQS3_210122_031	Blank	3.21	66	199
32	32	TQS3_210122_032	20190511_C_J-LC			
33	33	TQS3_210122_033	20190511_C_K-LC	3.23	25029	16457
34	34	TQS3_210122_034	20190511_C_L-LC	3.24	111340	71037
35	35	TQS3_210122_035	20190511_C_M-LC			
36	36	TQS3_210122_036	20190511_C_N-LC			
37	37	TQS3_210122_037	20190511_C_O-LC	3.24	41	49
38	38	TQS3_210122_038	20190528_C_A-LC	3.32	18	57
39	39	TQS3_210122_039	20190528_C_B-LC			
40	40	TQS3_210122_040	20190528_C_C-LC			
41	41	TQS3_210122_041	20190528_C_D-LC			
42	42	TQS3_210122_042	Blank	3.22	68	88
43	43	TQS3_210122_043	Std 3.125 ng/ml matrix	3.24	115271	72281
44	44	TQS3_210122_044	Blank			
45	45	TQS3_210122_045	20190528_C_E-LC	3.24	20924	13920
46	46	TQS3_210122_046	20190528_C_F-LC			
47	47	TQS3_210122_047	20190528_C_G-LC	3.26	48	74
48	48	TQS3_210122_048	20190528_C_H-LC	3.47	35	29
49	49	TQS3_210122_049	20190615_S_1_9-LC	3.24	3369	2383
50	50	TQS3_210122_050	20190819_C_I-LC			
51	51	TQS3_210122_051	20190819_C_J-LC	3.24	15207	9926
52	52	TQS3_210122_052	20190819_C_K-LC	3.24	5068	3094
53	53	TQS3_210122_053	20190819_C_L-LC	3.23	17392	12521
54	54	TQS3_210122_054	20190819_C_M-LC	3.24	15265	9889
55	55	TQS3_210122_055	Blank	3.22	136	88
56	56	TQS3_210122_056	Std 3.125 ng/ml matrix	3.24	116039	72952
57	57	TQS3_210122_057	Blank			
58	58	TQS3_210122_058	20190819_C_N-LC	3.23	5367	3186
59	59	TQS3_210122_059	20190819_C_O-LC			
60	60	TQS3_210122_060	20190819_C_P-LC			
61	61	TQS3_210122_061	20190819_C_Q-LC	3.22	7494	4705
62	62	TQS3_210122_062	20200304_C_A-LC			28794
63	63	TQS3_210122_063	20200304_C_B-LC	3.55	52	206
64	64	TQS3_210122_064	20200304_C_C-LC			
65	65	TQS3_210122_065	20200304_C_D-LC			
66	66	TQS3_210122_066	20200304_C_Eg-LC	3.22	314	69
67	67	TQS3_210122_067	20200304_C_Et-LC	3.23	2436	1772
68	68	TQS3_210122_068	Blank	3.21	48	28
69	69	TQS3_210122_069	Std 3.125 ng/ml matrix	3.23	126677	78985
70	70	TQS3_210122_070	Blank	3.21	37	60
71	71	TQS3_210122_071	Std 0 ng/mL			
72	72	TQS3_210122_072	Std 1.25 ng/mL	3.23	49608	31373
73	73	TQS3_210122_073	Std 3.125 ng/mL	3.23	135356	84816
74	74	TQS3_210122_074	Std 6.25 ng/mL	3.23	279776	174803
75	75	TQS3_210122_075	Std 12.5 ng/mL	3.23	462200	291197
76	76	TQS3_210122_076	Std 50 ng/mL	3.23	2048239	1299769
77	77	TQS3_210122_077	Blank	3.23	73	100
78	78	TQS3_210122_078	Std 3.125 ng/ml matrix	3.23	123530	78300
79	79	TQS3_210122_079	Blank			
80	80	TQS3_210122_080	20200304_C_Fg-LC	3.24	195	122
81	81	TQS3_210122_081	20200304_C_Ft-LC	3.23	1562	2199
82	82	TQS3_210122_082	20200304_C_G-LC			
83	83	TQS3_210122_083	20200304_C_Hg-LC	3.24	393	108
84	84	TQS3_210122_084	20200304_C_Ht-LC	3.23	1984	1410
85	85	TQS3_210122_085	20200304_C_Ig-LC	3.22	320	319
86	86	TQS3_210122_086	20200304_C_It-LC	3.23	3916	2895
87	87	TQS3_210122_087	20200304_C_Jg-LC	3.23	223	111
88	88	TQS3_210122_088	20200304_C_Jt-LC	3.24	482	465
89	89	TQS3_210122_089	20200304_C_Kg-LC	3.23	300	272
90	90	TQS3_210122_090	Blank	3.26	43	36
91	91	TQS3_210122_091	Std 3.125 ng/ml matrix	3.24	113693	73873
92	92	TQS3_210122_092	Blank			
93	93	TQS3_210122_093	20200304_C_Kt-LC	3.24	2395	1969
94	94	TQS3_210122_094	20200304_C_L-LC			
95	95	TQS3_210122_095	20200304_C_M-LC			
96	96	TQS3_210122_096	20200304_C_N-LC			
97	97	TQS3_210122_097	20200304_C_O-LC	3.23	32	70
98	98	TQS3_210122_098	20200304_C_P-LC	3.24	482	136
99	99	TQS3_210122_099	20200304_C_Q-LC			
100	100	TQS3_210122_100	20200304_C_R-LC	3.24	189	136
101	101	TQS3_210122_101	20200304_C_S-LC	3.24	2041	947
102	102	TQS3_210122_102	20200304_C_T-LC	3.23	436	93
103	103	TQS3_210122_103	Blank	3.24	29	31
104	104	TQS3_210122_104	Std 3.125 ng/ml matrix	3.24	115837	74730
105	105	TQS3_210122_105	Blank			
106	106	TQS3_210122_106	20200304_C_U-LC	3.57	31	52
107	107	TQS3_210122_107	20200304_C_V-LC			
108	108	TQS3_210122_108	20200304_C_W-LC			
109	109	TQS3_210122_109	20200304_C_X-LC	3.33	31	200
