Quantify Compound Summary Report 

Printed Thu Feb 04 10:40:01 2021

Compound 1:  13C-caffeine

	#	Name	Sample Text	RT	Area	1Area
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	3.74	1413641	474990
4	4	TQS3_210122_127	Blank	3.80	37	35
5	5	TQS3_210122_128	20190315_W_1-LC	3.74	349	76
6	6	TQS3_210122_129	20190510_W_1_9-LC	3.74	140	89
7	7	TQS3_210122_130	20190606_W_1_2-LC	3.76	162	60
8	8	TQS3_210122_131	20190615_W_1_9-LC	3.74	80	64
9	9	TQS3_210122_132	20200627_W_1_5-LC	3.74	1413076	473328
10	10	TQS3_210122_133	Blank	3.73	1833	509
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	3.74	1253423	423672
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	3.74	1403286	472322
13	13	TQS3_210122_144	Blank	3.72	2125	368
14	14	TQS3_210122_145	Std 0 ng/mL	3.74	434	164
15	15	TQS3_210122_146	Std 1.25 ng/mL	3.74	548372	183670
16	16	TQS3_210122_147	Std 3.125 ng/mL	3.74	1453092	495948
17	17	TQS3_210122_148	Std 6.25 ng/mL	3.74	3101995	1055603
18	18	TQS3_210122_149	Std 12.5 ng/mL	3.74	4964038	1684946
19	19	TQS3_210122_150	Std 50 ng/mL	3.73	9307178	6487741
20	20	TQS3_210122_151	Blank	3.75	5380	1982
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	3.74	1263404	424275
22	22	TQS3_210122_153	Blank	3.73	2056	470
23	23	TQS3_210122_154	Blank	3.74	2004	575

Compound 5:  Cymoxanil

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank			
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	3.96	24120	10559
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	3.97	27519	11269
4	4	TQS3_210122_127	Blank			
5	5	TQS3_210122_128	20190315_W_1-LC			
6	6	TQS3_210122_129	20190510_W_1_9-LC			
7	7	TQS3_210122_130	20190606_W_1_2-LC			
8	8	TQS3_210122_131	20190615_W_1_9-LC	4.00	670	61
9	9	TQS3_210122_132	20200627_W_1_5-LC			
10	10	TQS3_210122_133	Blank			
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	3.97	25173	10588
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	3.97	27424	11758
13	13	TQS3_210122_144	Blank			
14	14	TQS3_210122_145	Std 0 ng/mL			
15	15	TQS3_210122_146	Std 1.25 ng/mL	3.97	10403	4659
16	16	TQS3_210122_147	Std 3.125 ng/mL	3.97	29847	12388
17	17	TQS3_210122_148	Std 6.25 ng/mL	3.97	65260	26758
18	18	TQS3_210122_149	Std 12.5 ng/mL	3.97	115113	47918
19	19	TQS3_210122_150	Std 50 ng/mL	3.97	473897	199136
20	20	TQS3_210122_151	Blank			
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	3.97	25178	9959
22	22	TQS3_210122_153	Blank			
23	23	TQS3_210122_154	Blank			

Compound 6:  Propamocarb

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank	2.90	38	
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	2.85	407236	164664
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	2.85	454499	181155
4	4	TQS3_210122_127	Blank	2.91	27	49
5	5	TQS3_210122_128	20190315_W_1-LC	2.88	208	75
6	6	TQS3_210122_129	20190510_W_1_9-LC	2.91	21	
7	7	TQS3_210122_130	20190606_W_1_2-LC	2.88	79	
8	8	TQS3_210122_131	20190615_W_1_9-LC	2.91	65	32
9	9	TQS3_210122_132	20200627_W_1_5-LC			5
10	10	TQS3_210122_133	Blank	2.91	155	60
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	2.85	401965	160271
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	2.85	466407	185843
13	13	TQS3_210122_144	Blank	2.89	119	56
14	14	TQS3_210122_145	Std 0 ng/mL	2.90	189	87
15	15	TQS3_210122_146	Std 1.25 ng/mL	2.86	170522	68453
16	16	TQS3_210122_147	Std 3.125 ng/mL	2.85	478849	196447
17	17	TQS3_210122_148	Std 6.25 ng/mL	2.86	948191	380066
18	18	TQS3_210122_149	Std 12.5 ng/mL	2.85	1619068	648951
19	19	TQS3_210122_150	Std 50 ng/mL	2.85	7988969	3068954
20	20	TQS3_210122_151	Blank	2.93	190	49
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	2.86	428341	167013
22	22	TQS3_210122_153	Blank	2.89	67	38
23	23	TQS3_210122_154	Blank	2.93	26	34

Compound 7:  Oxathiopiprolin

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank			
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	6.53	292939	106478
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	6.53	334166	126817
4	4	TQS3_210122_127	Blank	6.52	363	176
5	5	TQS3_210122_128	20190315_W_1-LC			
6	6	TQS3_210122_129	20190510_W_1_9-LC			
7	7	TQS3_210122_130	20190606_W_1_2-LC	6.44	1061	1504
8	8	TQS3_210122_131	20190615_W_1_9-LC	6.53	604	641
9	9	TQS3_210122_132	20200627_W_1_5-LC	6.54	3742	1649
10	10	TQS3_210122_133	Blank	6.54	208	256
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	6.53	319563	120288
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	6.54	326786	121236
13	13	TQS3_210122_144	Blank	6.53	357	341
14	14	TQS3_210122_145	Std 0 ng/mL	6.53	221	489
15	15	TQS3_210122_146	Std 1.25 ng/mL	6.54	129780	48284
16	16	TQS3_210122_147	Std 3.125 ng/mL	6.54	346395	128872
17	17	TQS3_210122_148	Std 6.25 ng/mL	6.54	771294	284376
18	18	TQS3_210122_149	Std 12.5 ng/mL	6.54	1223181	444151
19	19	TQS3_210122_150	Std 50 ng/mL	6.54	5494815	1969861
20	20	TQS3_210122_151	Blank	6.54	2453	328
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	6.54	304098	113125
22	22	TQS3_210122_153	Blank	6.54	682	573
23	23	TQS3_210122_154	Blank	6.54	437	664

Compound 8:  Chlorantraniliprole

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank	6.05	75	418
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	6.02	117253	105924
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	6.02	140017	124047
4	4	TQS3_210122_127	Blank	6.04	243	24
5	5	TQS3_210122_128	20190315_W_1-LC	6.02	199	486
6	6	TQS3_210122_129	20190510_W_1_9-LC	6.04	383	329
7	7	TQS3_210122_130	20190606_W_1_2-LC	6.03	166	100
8	8	TQS3_210122_131	20190615_W_1_9-LC	6.02	554	157
9	9	TQS3_210122_132	20200627_W_1_5-LC	6.03	2671	2360
10	10	TQS3_210122_133	Blank	6.07	109	
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	6.02	126961	110221
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	6.03	132384	122492
13	13	TQS3_210122_144	Blank	6.02	251	245
14	14	TQS3_210122_145	Std 0 ng/mL			
15	15	TQS3_210122_146	Std 1.25 ng/mL	6.03	54528	49423
16	16	TQS3_210122_147	Std 3.125 ng/mL	6.03	154379	138389
17	17	TQS3_210122_148	Std 6.25 ng/mL	6.02	303143	269713
18	18	TQS3_210122_149	Std 12.5 ng/mL	6.03	490373	437180
19	19	TQS3_210122_150	Std 50 ng/mL	6.03	2246561	1948558
20	20	TQS3_210122_151	Blank	6.04	595	209
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	6.03	122980	109450
22	22	TQS3_210122_153	Blank	6.05	130	273
23	23	TQS3_210122_154	Blank	6.05	213	307

Compound 9:  Mandipropamid

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank	6.44	7880	1841
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	6.44	778107	232649
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	6.43	904257	270162
4	4	TQS3_210122_127	Blank	6.43	3937	938
5	5	TQS3_210122_128	20190315_W_1-LC	6.44	4083	1015
6	6	TQS3_210122_129	20190510_W_1_9-LC	6.43	3129	922
7	7	TQS3_210122_130	20190606_W_1_2-LC	6.43	8015567	2751294
8	8	TQS3_210122_131	20190615_W_1_9-LC	6.43	4550982	1365855
9	9	TQS3_210122_132	20200627_W_1_5-LC	6.44	1911306	583246
10	10	TQS3_210122_133	Blank	6.43	3645	874
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	6.44	788186	235365
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	6.44	903344	274455
13	13	TQS3_210122_144	Blank	6.44	2987	788
14	14	TQS3_210122_145	Std 0 ng/mL	6.44	1210	440
15	15	TQS3_210122_146	Std 1.25 ng/mL	6.44	357391	108581
16	16	TQS3_210122_147	Std 3.125 ng/mL	6.44	961350	284515
17	17	TQS3_210122_148	Std 6.25 ng/mL	6.44	1937765	586150
18	18	TQS3_210122_149	Std 12.5 ng/mL	6.44	3269371	972732
19	19	TQS3_210122_150	Std 50 ng/mL	6.43	9247045	4239280
20	20	TQS3_210122_151	Blank	6.45	7926	1605
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	6.44	806507	244626
22	22	TQS3_210122_153	Blank	6.45	3498	1034
23	23	TQS3_210122_154	Blank	6.44	3204	947

Compound 10:  Fluopicolide

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank	6.54	1699	463
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	6.54	663861	234740
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	6.54	759476	267709
4	4	TQS3_210122_127	Blank	6.54	1474	663
5	5	TQS3_210122_128	20190315_W_1-LC	6.55	5116	2665
6	6	TQS3_210122_129	20190510_W_1_9-LC	6.54	5924	1912
7	7	TQS3_210122_130	20190606_W_1_2-LC	6.54	19321	7141
8	8	TQS3_210122_131	20190615_W_1_9-LC	6.54	23914	9526
9	9	TQS3_210122_132	20200627_W_1_5-LC	6.54	11969	4290
10	10	TQS3_210122_133	Blank	6.54	1040	212
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	6.54	737012	260190
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	6.55	749919	265756
13	13	TQS3_210122_144	Blank	6.55	1858	637
14	14	TQS3_210122_145	Std 0 ng/mL	6.54	485	87
15	15	TQS3_210122_146	Std 1.25 ng/mL	6.55	296683	101443
16	16	TQS3_210122_147	Std 3.125 ng/mL	6.54	799654	277791
17	17	TQS3_210122_148	Std 6.25 ng/mL	6.54	1802240	627490
18	18	TQS3_210122_149	Std 12.5 ng/mL	6.55	2787555	953699
19	19	TQS3_210122_150	Std 50 ng/mL	6.54	9055208	4377452
20	20	TQS3_210122_151	Blank	6.55	5090	2141
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	6.55	687348	237658
22	22	TQS3_210122_153	Blank	6.53	1835	681
23	23	TQS3_210122_154	Blank	6.55	1875	106

Compound 11:  Fluxapyroxad

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank	6.50	5772	3115
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	6.50	640451	366699
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	6.50	750460	434481
4	4	TQS3_210122_127	Blank	6.50	3592	1627
5	5	TQS3_210122_128	20190315_W_1-LC	6.50	6673	3972
6	6	TQS3_210122_129	20190510_W_1_9-LC	6.50	18601	10298
7	7	TQS3_210122_130	20190606_W_1_2-LC	6.50	14238	7684
8	8	TQS3_210122_131	20190615_W_1_9-LC	6.49	6681	4248
9	9	TQS3_210122_132	20200627_W_1_5-LC	6.51	4456	3230
10	10	TQS3_210122_133	Blank	6.50	2044	937
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	6.50	705290	399700
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	6.50	726673	425515
13	13	TQS3_210122_144	Blank	6.51	2188	1275
14	14	TQS3_210122_145	Std 0 ng/mL	6.50	792	593
15	15	TQS3_210122_146	Std 1.25 ng/mL	6.51	295403	170323
16	16	TQS3_210122_147	Std 3.125 ng/mL	6.50	820769	479346
17	17	TQS3_210122_148	Std 6.25 ng/mL	6.50	1607346	929005
18	18	TQS3_210122_149	Std 12.5 ng/mL	6.51	2603672	1521916
19	19	TQS3_210122_150	Std 50 ng/mL	6.50	8635023	6001264
20	20	TQS3_210122_151	Blank	6.50	4200	2151
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	6.51	649853	372802
22	22	TQS3_210122_153	Blank	6.51	2731	1860
23	23	TQS3_210122_154	Blank	6.50	2397	995

Compound 12:  Boscalid

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank	6.43	3227	1639
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	6.42	166510	107909
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	6.42	192979	129468
4	4	TQS3_210122_127	Blank	6.42	1542	2009
5	5	TQS3_210122_128	20190315_W_1-LC	6.43	2808	2092
6	6	TQS3_210122_129	20190510_W_1_9-LC	6.42	2493	1172
7	7	TQS3_210122_130	20190606_W_1_2-LC	6.43	3475	3124
8	8	TQS3_210122_131	20190615_W_1_9-LC	6.41	3320	2191
9	9	TQS3_210122_132	20200627_W_1_5-LC	6.44	4936	2189
10	10	TQS3_210122_133	Blank	6.42	2726	907
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	6.42	177325	115335
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	6.42	194761	124551
13	13	TQS3_210122_144	Blank	6.44	1906	1689
14	14	TQS3_210122_145	Std 0 ng/mL	6.43	1724	1064
15	15	TQS3_210122_146	Std 1.25 ng/mL	6.43	75821	51070
16	16	TQS3_210122_147	Std 3.125 ng/mL	6.42	202336	133791
17	17	TQS3_210122_148	Std 6.25 ng/mL	6.42	435524	287212
18	18	TQS3_210122_149	Std 12.5 ng/mL	6.43	705732	458993
19	19	TQS3_210122_150	Std 50 ng/mL	6.42	3111882	2036181
20	20	TQS3_210122_151	Blank	6.43	2467	1447
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	6.43	170968	114592
22	22	TQS3_210122_153	Blank	6.41	1937	1137
23	23	TQS3_210122_154	Blank	6.43	2210	1136

Compound 13:  Flutolanil

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank	6.48	2772	1917
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	6.49	1784456	1400706
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	6.49	2124297	1673529
4	4	TQS3_210122_127	Blank	6.48	3058	3295
5	5	TQS3_210122_128	20190315_W_1-LC	6.49	729	720
6	6	TQS3_210122_129	20190510_W_1_9-LC	6.49	428873	322584
7	7	TQS3_210122_130	20190606_W_1_2-LC	6.49	220924	172139
8	8	TQS3_210122_131	20190615_W_1_9-LC	6.48	163410	131537
9	9	TQS3_210122_132	20200627_W_1_5-LC	6.49	4218	3254
10	10	TQS3_210122_133	Blank	6.50	2577	2112
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	6.49	1866876	1504815
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	6.49	2084638	1627527
13	13	TQS3_210122_144	Blank	6.50	4280	3125
14	14	TQS3_210122_145	Std 0 ng/mL	6.50	1091	1248
15	15	TQS3_210122_146	Std 1.25 ng/mL	6.49	855266	664720
16	16	TQS3_210122_147	Std 3.125 ng/mL	6.49	2365640	1856878
17	17	TQS3_210122_148	Std 6.25 ng/mL	6.49	4514605	3557609
18	18	TQS3_210122_149	Std 12.5 ng/mL	6.49	7131850	5936467
19	19	TQS3_210122_150	Std 50 ng/mL	6.48	11206239	10804028
20	20	TQS3_210122_151	Blank	6.49	14826	11285
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	6.49	1850582	1455199
22	22	TQS3_210122_153	Blank	6.49	4669	4149
23	23	TQS3_210122_154	Blank	6.50	3732	2265

Compound 14:  Dimethomorph A

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank	6.31	164	69
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	6.32	164451	104358
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	6.32	180033	113657
4	4	TQS3_210122_127	Blank	6.30	154	678
5	5	TQS3_210122_128	20190315_W_1-LC	6.33	161	277
6	6	TQS3_210122_129	20190510_W_1_9-LC			
7	7	TQS3_210122_130	20190606_W_1_2-LC	6.34	56	349
8	8	TQS3_210122_131	20190615_W_1_9-LC	6.31	1455945	918430
9	9	TQS3_210122_132	20200627_W_1_5-LC	6.35	567	695
10	10	TQS3_210122_133	Blank	6.32	250	185
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	6.32	153201	95892
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	6.32	179200	111047
13	13	TQS3_210122_144	Blank			
14	14	TQS3_210122_145	Std 0 ng/mL			
15	15	TQS3_210122_146	Std 1.25 ng/mL	6.32	68358	44032
16	16	TQS3_210122_147	Std 3.125 ng/mL	6.32	190450	119704
17	17	TQS3_210122_148	Std 6.25 ng/mL	6.32	401010	250462
18	18	TQS3_210122_149	Std 12.5 ng/mL	6.32	658593	411978
19	19	TQS3_210122_150	Std 50 ng/mL	6.32	3129939	1941314
20	20	TQS3_210122_151	Blank	6.32	777	679
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	6.33	167816	102987
22	22	TQS3_210122_153	Blank			
23	23	TQS3_210122_154	Blank	6.33	256	252

Compound 15:  Dimethomorph B

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank	6.51	398	516
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	6.52	274403	163303
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	6.52	304300	187639
4	4	TQS3_210122_127	Blank	6.55	158	67
5	5	TQS3_210122_128	20190315_W_1-LC	6.52	788	698
6	6	TQS3_210122_129	20190510_W_1_9-LC	6.53	73	51
7	7	TQS3_210122_130	20190606_W_1_2-LC	6.49	877	1386
8	8	TQS3_210122_131	20190615_W_1_9-LC	6.52	4820982	2866056
9	9	TQS3_210122_132	20200627_W_1_5-LC	6.54	1769	2391
10	10	TQS3_210122_133	Blank	6.56	61	167
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	6.53	302348	183436
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	6.53	302460	182664
13	13	TQS3_210122_144	Blank	6.53	282	629
14	14	TQS3_210122_145	Std 0 ng/mL	6.52	48	202
15	15	TQS3_210122_146	Std 1.25 ng/mL	6.53	120213	74034
16	16	TQS3_210122_147	Std 3.125 ng/mL	6.52	324450	198342
17	17	TQS3_210122_148	Std 6.25 ng/mL	6.53	698004	430356
18	18	TQS3_210122_149	Std 12.5 ng/mL	6.52	1144081	686440
19	19	TQS3_210122_150	Std 50 ng/mL	6.52	5056580	3034356
20	20	TQS3_210122_151	Blank	6.53	1368	766
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	6.53	281576	168279
22	22	TQS3_210122_153	Blank	6.52	768	740
23	23	TQS3_210122_154	Blank	6.55	312	287

Compound 16:  Terbuthylazine

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank	6.42	5252	1787
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	6.43	1989850	596861
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	6.43	2285377	714754
4	4	TQS3_210122_127	Blank	6.42	5809	2355
5	5	TQS3_210122_128	20190315_W_1-LC	6.43	45250	12722
6	6	TQS3_210122_129	20190510_W_1_9-LC	6.42	15851	6019
7	7	TQS3_210122_130	20190606_W_1_2-LC	6.42	40645	13260
8	8	TQS3_210122_131	20190615_W_1_9-LC	6.42	18959	5307
9	9	TQS3_210122_132	20200627_W_1_5-LC	6.43	45870	15005
10	10	TQS3_210122_133	Blank	6.42	5564	2062
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	6.43	2027905	607632
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	6.43	2301981	704350
13	13	TQS3_210122_144	Blank	6.43	6665	1861
14	14	TQS3_210122_145	Std 0 ng/mL	6.44	2975	1125
15	15	TQS3_210122_146	Std 1.25 ng/mL	6.43	914458	278206
16	16	TQS3_210122_147	Std 3.125 ng/mL	6.43	2436624	744880
17	17	TQS3_210122_148	Std 6.25 ng/mL	6.43	4983187	1532660
18	18	TQS3_210122_149	Std 12.5 ng/mL	6.43	7723151	2529790
19	19	TQS3_210122_150	Std 50 ng/mL	6.41	12158643	8816661
20	20	TQS3_210122_151	Blank	6.43	12256	3481
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	6.43	2067070	622439
22	22	TQS3_210122_153	Blank	6.44	7034	2733
23	23	TQS3_210122_154	Blank	6.45	5968	1822

Compound 17:  Pyrimethanil

	#	Name	Sample Text	RT	Area	1 Area
1	1	TQS3_210122_124	Blank	5.91	159	91
2	2	TQS3_210122_125	Std 3.125 ng/ml matrix	6.07	148069	123685
3	3	TQS3_210122_126	Std 3.125 ng/ml Solvent	6.07	184592	143261
4	4	TQS3_210122_127	Blank	5.92	51	188
5	5	TQS3_210122_128	20190315_W_1-LC	6.05	674	621
6	6	TQS3_210122_129	20190510_W_1_9-LC	6.08	1895	1407
7	7	TQS3_210122_130	20190606_W_1_2-LC			779
8	8	TQS3_210122_131	20190615_W_1_9-LC	5.90	88	138
9	9	TQS3_210122_132	20200627_W_1_5-LC	5.87	85	401
10	10	TQS3_210122_133	Blank	5.93	192	203
11	11	TQS3_210122_134	Std 3.125 ng/ml matrix	6.07	155664	122301
12	12	TQS3_210122_135	Std 3.125 ng/ml Solvent	6.08	183075	141937
13	13	TQS3_210122_144	Blank	5.82	87	112
14	14	TQS3_210122_145	Std 0 ng/mL			138
15	15	TQS3_210122_146	Std 1.25 ng/mL	6.08	66769	53639
16	16	TQS3_210122_147	Std 3.125 ng/mL	6.08	187731	147764
17	17	TQS3_210122_148	Std 6.25 ng/mL	6.08	371934	296985
18	18	TQS3_210122_149	Std 12.5 ng/mL	6.08	625563	489629
19	19	TQS3_210122_150	Std 50 ng/mL	6.08	2866285	2258946
20	20	TQS3_210122_151	Blank	5.83	71	46
21	21	TQS3_210122_152	Std 3.125 ng/ml matrix	6.09	160896	124987
22	22	TQS3_210122_153	Blank	6.09	660	259
